DATA,PAPEL,OP,QTD,PREÇO,CUS.T.,TOTAL OP,RAT.,V. LIQUIDO,ESTOQUE,PMEDIO,GAN/PER,IR MÊS,MÊS REF.,VENDAS/MÊS
07/01/2019,FIBB11,C,8,"427,50","5,08","3.420,00","1,09","-3.421,09",8,"427,636",,,1/2019,"0,00"
07/01/2019,IRDM11,C,1,"110,50","5,08","110,50","0,03","-110,53",1,"110,530",,,1/2019,"0,00"
07/01/2019,IRDM11,C,19,"110,54","5,08","2.100,26","0,67","-2.100,93",20,"110,573",,,1/2019,"0,00"
07/01/2019,JRDM11,C,9,"70,59","5,08","635,31","0,20","-635,51",9,"70,612",,,1/2019,"0,00"
07/01/2019,JRDM11,C,19,"70,60","5,08","1.341,40","0,42","-1.341,82",28,"70,619",,,1/2019,"0,00"
07/01/2019,OUJP11,C,30,"103,80","5,08","3.114,00","0,99","-3.114,99",30,"103,833",,,1/2019,"0,00"
07/01/2019,TRBL11,C,20,"105,90","5,08","2.118,00","0,67","-2.118,67",20,"105,934",,,1/2019,"0,00"
07/01/2019,XPML11,C,19,"109,94","5,08","2.088,86","0,66","-2.089,52",19,"109,975",,,1/2019,"0,00"
07/01/2019,XPML11,C,9,"109,94","5,08","989,46","0,31","-989,77",28,"109,975",,,1/2019,"0,00"
16/01/2019,JRDM11,C,72,"71,95","1,65","5.180,40","1,65","-5.182,05",100,"71,594",,,1/2019,"0,00"
23/01/2019,GGRC11,C,200,"140,09","13,43","28.018,00","8,95","-28.026,95",200,"140,135",,,1/2019,"0,00"
23/01/2019,GGRC11,C,100,"140,10","13,43","14.010,00","4,47","-14.014,47",300,"140,138",,,1/2019,"0,00"
06/02/2019,JRDM11,C,13,"66,30","0,00","861,90","0,00","-861,90",113,"70,985",,,2/2019,"0,00"
20/02/2019,GGRC11,C,172,"116,70","0,00","20.072,40","0,00","-20.072,40",472,"131,597",,,2/2019,"0,00"
22/02/2019,XPML11,C,21,"102,21","0,00","2.146,41","0,00","-2.146,41",49,"106,647",,,2/2019,"0,00"
07/03/2019,GGRC11,C,168,"116,70","0,00","19.605,60","0,00","-19.605,60",640,"127,687",,,3/2019,"0,00"
27/03/2019,IRDM11,C,5,"95,73","0,00","478,65","0,00","-478,65",25,"107,604",,,3/2019,"0,00"
15/04/2019,TRBL11,C,10,"111,09","1,36","1.110,90","0,37","-1.111,27",30,"107,665",,,4/2019,"0,00"
15/04/2019,TRBL11,C,20,"111,09","1,36","2.221,80","0,75","-2.222,55",50,"109,050",,,4/2019,"0,00"
15/04/2019,TRBL11,C,6,"111,09","1,36","666,54","0,22","-666,76",56,"109,272",,,4/2019,"0,00"
15/05/2019,TRBL11,C,22,"96,13","0,00","2.114,86","0,00","-2.114,86",78,"105,565",,,5/2019,"0,00"
27/05/2019,TRBL11,C,13,"96,13","0,00","1.249,69","0,00","-1.249,69",91,"104,217",,,5/2019,"0,00"
27/05/2019,FIIB11,C,10,"450,49","4,61","4.504,90","1,31","-4.506,21",10,"450,621",,,5/2019,"0,00"
27/05/2019,FIIB11,C,10,"450,49","4,61","4.504,90","1,31","-4.506,21",20,"450,621",,,5/2019,"0,00"
27/05/2019,XPML11,C,10,"107,67","4,61","1.076,70","0,31","-1.077,01",59,"106,826",,,5/2019,"0,00"
27/05/2019,XPML11,C,41,"107,67","4,61","4.414,47","1,29","-4.415,76",100,"107,185",,,5/2019,"0,00"
25/06/2019,OUJP11,C,41,"104,41","0,00","4.280,81","0,00","-4.280,81",71,"104,166",,,6/2019,"0,00"
28/06/2019,RBVA11,C,20,"133,86","2,54","2.677,20","0,84","-2.678,04",20,"133,902",,,6/2019,"0,00"
28/06/2019,RBVA11,C,20,"133,86","2,54","2.677,20","0,84","-2.678,04",40,"133,902",,,6/2019,"0,00"
