DATA,PAPEL,OP,QTD,PREÇO,CUS.T.,TOTAL OP,RAT.,V. LIQUIDO,ESTOQUE,PMEDIO,GAN/PER,IR MÊS,MÊS REF.,VENDAS/MÊS
26/10/2021,LVBI11,C,2,"97,78","0,19","195,56","0,05","-195,61",2,"97,805",,,10/2021,"0,00"
26/10/2021,RBED11,C,2,"132,10","0,19","264,20","0,07","-264,27",2,"132,135",,,10/2021,"0,00"
26/10/2021,TRXF11,C,2,"101,21","0,19","202,42","0,05","-202,47",2,"101,235",,,10/2021,"0,00"
08/11/2021,XPML11,C,6,"96,47","0,16","578,82","0,16","-578,98",6,"96,497",,,11/2021,"0,00"
26/11/2021,HGRU11,C,1,"102,65","0,19","102,65","0,02","-102,67",1,"102,670",,,11/2021,"0,00"
26/11/2021,IRDM11,C,2,"102,00","0,19","204,00","0,05","-204,05",2,"102,025",,,11/2021,"0,00"
26/11/2021,TRXF11,C,2,"96,51","0,19","193,02","0,05","-193,07",4,"98,885",,,11/2021,"0,00"
26/11/2021,LVBI11,C,2,"85,15","0,19","170,30","0,04","-170,34",4,"91,488",,,11/2021,"0,00"
30/11/2021,HGRU11,C,2,"106,66","0,06","213,32","0,06","-213,38",3,"105,350",,,11/2021,"0,00"
14/12/2021,AFHI11,C,3,"98,45","0,08","295,35","0,08","-295,43",3,"98,477",,,12/2021,"0,00"
20/12/2021,HGRU11,C,2,"115,08","0,18","230,16","0,06","-230,22",5,"109,254",,,12/2021,"0,00"
20/12/2021,IRDM11,C,1,"102,59","0,18","102,59","0,02","-102,61",3,"102,220",,,12/2021,"0,00"
20/12/2021,LVBI11,C,3,"98,00","0,18","294,00","0,08","-294,08",7,"94,290",,,12/2021,"0,00"
26/01/2022,RBVA11,C,3,"98,21","0,08","294,63","0,08","-294,71",3,"98,237",,,1/2022,"0,00"
31/01/2022,AFHI11,C,1,"100,27","0,09","100,27","0,02","-100,29",4,"98,930",,,1/2022,"0,00"
31/01/2022,IRDM11,C,1,"108,45","0,09","108,45","0,02","-108,47",4,"103,783",,,1/2022,"0,00"
31/01/2022,RBED11,C,1,"120,12","0,09","120,12","0,03","-120,15",3,"128,140",,,1/2022,"0,00"
23/02/2022,TRXF11,C,2,"100,42","0,06","200,84","0,06","-200,90",6,"99,407",,,2/2022,"0,00"
28/03/2022,AFHI11,C,4,"100,03","0,64","400,12","0,11","-400,23",8,"99,494",,,3/2022,"0,00"
28/03/2022,IRDM11,C,4,"108,16","0,64","432,64","0,12","-432,76",8,"105,986",,,3/2022,"0,00"
28/03/2022,LVBI11,C,3,"99,15","0,64","297,45","0,08","-297,53",10,"95,756",,,3/2022,"0,00"
28/03/2022,RBED11,C,4,"122,50","0,64","490,00","0,14","-490,14",7,"124,937",,,3/2022,"0,00"
28/03/2022,TRXF11,C,2,"99,36","0,64","198,72","0,05","-198,77",8,"99,401",,,3/2022,"0,00"
28/03/2022,XPML11,C,4,"91,83","0,64","367,32","0,10","-367,42",10,"94,640",,,3/2022,"0,00"
28/04/2022,IRDM11,C,1,"105,93","0,08","105,93","0,02","-105,95",9,"105,982",,,4/2022,"0,00"
28/04/2022,LVBI11,C,2,"99,63","0,08","199,26","0,05","-199,31",12,"96,406",,,4/2022,"0,00"
24/05/2022,LVBI11,C,2,"100,10","0,06","200,20","0,06","-200,26",14,"96,938",,,5/2022,"0,00"
23/06/2022,TRXF11,C,3,"98,68","0,08","296,04","0,08","-296,12",11,"99,212",,,6/2022,"0,00"
28/06/2022,HGRU11,C,1,"116,96","0,06","116,96","0,03","-116,99",6,"110,543",,,6/2022,"0,00"
28/06/2022,IRDM11,C,1,"101,90","0,06","101,90","6,11","6,11",10,"94,772",,,6/2022,"0,00"
26/09/2022,HGRU11,C,1,"127,61","0,09","127,61","11,48","11,48",7,"93,111",,,9/2022,"0,00"
26/09/2022,RBED11,C,2,"132,91","0,10","265,82","13,29","26,58",9,"94,220",,,9/2022,"0,00"
30/09/2022,HGRU11,C,2,"129,76","0,07","259,52","9,08","18,17",9,"70,401",,,9/2022,"0,00"
30/09/2022,XPML11,C,1,"102,88","0,07","102,88","0,01","-102,89",11,"95,390",,,9/2022,"0,00"
15/10/2022,XPML11,C,5,"102,88","0,00","514,40","0,00","-514,40",16,"97,731",,,10/2022,"0,00"
29/11/2022,TRBL11,C,3,"91,40","0,04","274,20","0,04","-274,24",3,"91,413",,,11/2022,"0,00"
14/12/2022,TRBL11,C,4,"90,43","0,51","361,72","0,10","-361,82",7,"90,866",,"3,45",12/2022,"1.374,80"
14/12/2022,LVBI11,V,14,"98,20","0,51","1.374,80","0,40","1.374,40",0,"96,938","17,27","3,45",12/2022,"1.374,80"
16/12/2022,TRBL11,C,15,"89,06","0,39","1.335,90","0,39","-1.336,29",22,"89,652",,"3,45",12/2022,"1.374,80"
27/01/2023,MALL11,C,4,"102,82","0,12","411,28","0,12","-411,40",4,"102,850",,,1/2023,"0,00"
27/02/2023,AFHI11,C,10,"93,91","0,85","939,10","0,27","-939,37",18,"96,407",,,2/2023,"0,00"
27/02/2023,HGRU11,C,2,"115,52","0,85","231,04","0,06","-231,10",11,"78,610",,,2/2023,"0,00"
27/02/2023,IRDM11,C,7,"89,37","0,85","625,59","0,18","-625,77",17,"92,558",,,2/2023,"0,00"
27/02/2023,MALL11,C,8,"98,92","0,85","791,36","0,23","-791,59",12,"100,249",,,2/2023,"0,00"
27/02/2023,RBVA11,C,3,"92,45","0,85","277,35","0,08","-277,43",6,"95,357",,,2/2023,"0,00"
24/03/2023,AFHI11,C,2,"93,28","0,28","186,56","0,05","-186,61",20,"96,096",,,3/2023,"0,00"
24/03/2023,MALL11,C,1,"93,28","0,28","93,28","0,02","-93,30",13,"99,715",,,3/2023,"0,00"
24/03/2023,TRXF11,C,3,"101,82","0,28","305,46","0,08","-305,54",14,"99,776",,,3/2023,"0,00"
24/03/2023,XPML11,C,3,"96,54","0,28","289,62","0,08","-289,70",19,"97,547",,,3/2023,"0,00"
24/03/2023,XPML11,C,1,"96,55","0,28","96,55","0,02","-96,57",20,"97,498",,,3/2023,"0,00"
28/04/2023,IRDM11,C,4,"78,25","0,08","313,00","0,08","-313,08",21,"89,837",,,4/2023,"0,00"
29/05/2023,IRDM11,C,4,"84,98","0,09","339,92","0,09","-340,01",25,"89,063",,,5/2023,"0,00"
30/06/2023,HGRU11,C,2,"132,05","0,07","264,10","0,07","-264,17",13,"86,837",,,6/2023,"0,00"
21/07/2023,AFHI11,C,4,"96,17",,"384,68",,"-384,68",24,"96,109",,,7/2023,"0,00"
21/08/2023,AFHI11,C,2,"96,17",,"192,34",,"-192,34",26,"96,113",,,8/2023,"0,00"
28/08/2023,KNSC11,C,40,"8,97","0,09","358,88","0,09","-358,97",40,"8,974",,,8/2023,"0,00"
27/11/2023,AFHI11,C,1,"95,77","0,24","95,77","0,02","-95,79",27,"96,101",,,11/2023,"0,00"
27/11/2023,KNSC11,C,80,"8,90","0,24","712,00","0,21","-712,21",120,"8,926",,,11/2023,"0,00"
26/12/2023,AFHI11,C,4,"97,25","0,20","389,00","0,10","-389,10",31,"96,253",,,12/2023,"0,00"
26/12/2023,KNSC11,C,36,"9,06","0,20","326,16","0,09","-326,25",156,"8,958",,,12/2023,"0,00"
23/01/2024,XPML11,C,4,"112,95",,"451,80",,"-451,80",24,"100,073",,,1/2024,"0,00"
29/02/2024,KNSC11,C,18,"9,16","0,20","164,88","0,04","-164,92",174,"8,979",,,2/2024,"0,00"
29/02/2024,KNSC11,C,32,"9,16","0,20","293,12","0,08","-293,20",206,"9,007",,,2/2024,"0,00"
29/02/2024,TRXF11,C,2,"113,91","0,20","227,82","0,06","-227,88",16,"101,547",,,2/2024,"0,00"
01/04/2024,TRXF11,C,2,"109,19",,"218,38",,"-218,38",18,"102,396",,"5,50",4/2024,"334,76"
08/04/2024,TRXF11,V,1,"111,58","0,10","111,58","0,03","111,55",17,"102,396","9,15","5,50",4/2024,"334,76"
08/04/2024,TRXF11,V,2,"111,59","0,10","223,18","0,06","223,12",15,"102,396","18,33","5,50",4/2024,"334,76"
09/04/2024,XPML11,C,4,"115,97",,"463,88",,"-463,88",28,"102,344",,"5,50",4/2024,"334,76"
15/04/2024,TRXF11,C,3,"109,19",,"327,57",,"-327,57",18,"103,528",,"5,50",4/2024,"334,76"
